artista_nome,artista_id,artista_popularidade,artista_generos,musica_nome,musica_id,musica_popularidade,album_nome,album_id,data_lancamento,duracao_ms,explicita,preview_url,external_url
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,90,"pop, singer-songwriter pop, uk pop",Merry Christmas,3bH2Eu9A9ymI4UnGHRmoXg,81,Merry Christmas,3pqY0b5nEKoWwSrrwMwqMK,2021-12-03,208546,False,,https://open.spotify.com/track/3bH2Eu9A9ymI4UnGHRmoXg
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,90,"pop, singer-songwriter pop, uk pop",Shape of You,7qiZfU4dY1lWllzX7mPBI3,86,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,2017-03-03,233712,False,,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,90,"pop, singer-songwriter pop, uk pop",Perfect,0tgVpDi06FyKpA1z0VMD4v,85,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,2017-03-03,263400,False,,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,90,"pop, singer-songwriter pop, uk pop",Photograph,6fxVffaTuwjgEk5h9QyRjy,65,x (Wembley Edition),6NoBzYmh5gUusGPCfg0pct,2013,258986,False,,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,90,"pop, singer-songwriter pop, uk pop",Shivers,50nfwKoDiSYg8zOCREWAm5,82,=,32iAEBstCjauDhyKpGjTuq,2021-10-25,207853,False,,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,90,"pop, singer-songwriter pop, uk pop",Thinking out Loud,1Slwb6dOYkBlWal1PGtnNg,64,x (Wembley Edition),6NoBzYmh5gUusGPCfg0pct,2013,281560,False,,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,90,"pop, singer-songwriter pop, uk pop",Bad Habits,3rmo8F54jFF8OgYsqTxm5d,78,=,32iAEBstCjauDhyKpGjTuq,2021-10-25,230746,False,,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,90,"pop, singer-songwriter pop, uk pop",I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,73,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,2019-07-12,219946,False,,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,90,"pop, singer-songwriter pop, uk pop",Under the Tree (from “That Christmas”),3emyfamOMxgrus8oZQh6Mx,77,Under the Tree (from “That Christmas”),3HcgqKuPvj9ZpqLCny0GWg,2024-11-26,242826,False,,https://open.spotify.com/track/3emyfamOMxgrus8oZQh6Mx
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,90,"pop, singer-songwriter pop, uk pop",Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,76,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,2017-03-03,261153,False,,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
